country|pid|rank|week
UGA|2415625|784|18042
JAM|1572833|784|18042
TPE|1208712|784|18042
INA|1604841|784|18042
MGL|2521972|784|18042
USA|2432061|784|18042
GUA|2525898|784|18042
EGY|2514698|784|18042
MAS|2531414|784|18042
MAS|2511820|784|18042
MAS|396350|784|18042
USA|2521404|784|18042
TUR|2337518|784|18042
GRE|2046631|784|18042
AUS|2604770|784|18042
AUS|2146883|784|18042
MEX|2637054|784|18042
MEX|2455562|784|18042
MEX|2092789|784|18042
POL|2238962|784|18042
POL|1026697|784|18042
ETH|2634734|784|18042
ETH|2634824|784|18042
ETH|2634689|784|18042
ESA|2132632|784|18042
PAN|2526348|784|18042
PAN|2634078|784|18042
DOM|2185956|784|18042
DOM|2694242|784|18042
DOM|2694577|784|18042
DOM|2636429|784|18042
DOM|2694428|784|18042
DOM|2694152|784|18042
DOM|2636474|784|18042
EGY|2583250|784|18042
LAO|2479406|784|18042
THA|2642947|784|18042
MAS|2620246|784|18042
THA|2651132|784|18042
LAO|2480036|784|18042
THA|2167127|784|18042
THA|2646662|784|18042
THA|2688686|784|18042
THA|2641453|784|18042
BAR|2101109|784|18042
BOT|986412|784|18042
BOT|2784400|784|18042
BOT|2784535|784|18042
BOT|2783974|784|18042
BOT|2784355|784|18042
BOT|2784490|784|18042
BOT|2783440|784|18042
IND|2697182|784|18042
IND|2613152|784|18042
ZAM|2274891|784|18042
ZAM|2796324|784|18042
ZAM|1724966|784|18042
IRI|2780032|784|18042
NEP|2637159|784|18042
BHU|408194|784|18042
DEN|2151607|784|18042
UGA|2565128|784|18042
INA|935493|784|18042
DEN|2148697|784|18042
MGL|1615242|784|18042
KAZ|2237855|784|18042
FRA|1726052|924|18042
ZIM|1980675|925|18042
ZIM|2482734|925|18042
POR|1293177|927|18042
CZE|1219282|928|18042
VIE|116088|929|18042
RUS|339244|929|18042
CHI|1474111|929|18042
CHI|1195677|929|18042
RUS|1732681|929|18042
ESA|2132590|929|18042
PAN|2526398|929|18042
CHN|2902207|929|18042
AUT|2199426|937|18042
ENG|1537407|938|18042
GRE|1132353|939|18042
FIN|1489691|940|18042
SGP|1691786|941|18042
IND|2255014|941|18042
CRO|306535|943|18042
ROU|1026438|944|18042
RUS|339249|945|18042
MLT|355066|946|18042
ITA|1067074|946|18042
ITA|1070525|946|18042
ITA|1066954|946|18042
IND|2786814|946|18042
POL|672277|951|18042
HUN|1428388|952|18042
FRA|1355183|953|18042
UKR|2583997|953|18042
SVK|728417|955|18042
TPE|1354731|956|18042
ZIM|1982993|957|18042
CZE|108751|958|18042
ESP|113682|958|18042
SGP|206110|958|18042
TUR|276138|958|18042
ESP|326983|958|18042
RUS|1524191|958|18042
RUS|465062|958|18042
CAN|1622643|958|18042
IRI|2389687|958|18042
INA|2478627|958|18042
INA|2094192|958|18042
UKR|2622792|958|18042
INA|1604769|958|18042
SVK|1988548|958|18042
IND|2465398|958|18042
IND|2121674|958|18042
IND|1576268|958|18042
IRI|2780259|958|18042
IRI|2780213|958|18042
IRI|2860703|958|18042
IRI|2780395|958|18042
IRI|2780440|958|18042
TUN|2867412|958|18042
THA|2231361|958|18042
JPN|1647443|958|18042
JPN|2917499|958|18042
LAT|1171652|984|18042
PYF|2387582|985|18042
ROU|220947|986|18042
DEN|1466983|986|18042
NZL|1980922|986|18042
MRI|2046426|986|18042
AUS|1577021|986|18042
MKD|813882|986|18042
ISR|1990069|986|18042
ISR|2001013|986|18042
GER|1194241|986|18042
MRI|2510284|986|18042
MRI|2504906|986|18042
MRI|2510329|986|18042
GER|1214953|986|18042
BUL|1956222|986|18042
ISR|2046584|986|18042
ISR|2436331|986|18042
ALG|2861001|986|18042
ALG|2743790|986|18042
ALG|2860956|986|18042
ALG|1484858|986|18042
NED|1930070|986|18042
BOL|2967178|986|18042
