country|date|pid|rank|week
VEN|6/13/2013|59934|545|5060
VIE|6/13/2013|62356|545|5060
VIE|6/13/2013|73998|545|5060
PER|6/13/2013|75122|545|5060
DEN|6/13/2013|70314|545|5060
LTU|6/13/2013|66592|545|5060
MRI|6/13/2013|96915|545|5060
UKR|6/13/2013|71092|545|5060
ECU|6/13/2013|94102|545|5060
TUR|6/13/2013|89331|545|5060
DOM|6/13/2013|61668|545|5060
BOT|6/13/2013|23340|545|5060
ENG|6/13/2013|83037|545|5060
CUB|6/13/2013|92856|545|5060
CUB|6/13/2013|63268|545|5060
FIN|6/13/2013|59293|545|5060
FIN|6/13/2013|97457|545|5060
INA|6/13/2013|64558|545|5060
BEL|6/13/2013|65846|545|5060
PYF|6/13/2013|89283|545|5060
PYF|6/13/2013|77410|545|5060
PYF|6/13/2013|80268|545|5060
DEN|6/13/2013|57982|545|5060
ESP|6/13/2013|90270|545|5060
MDV|6/13/2013|89832|545|5060
MRI|6/13/2013|83829|545|5060
RUS|6/13/2013|77298|545|5060
RUS|6/13/2013|58548|545|5060
RUS|6/13/2013|70978|545|5060
RUS|6/13/2013|63417|545|5060
RUS|6/13/2013|61870|545|5060
INA|6/13/2013|73506|545|5060
DOM|6/13/2013|78805|545|5060
IND|6/13/2013|65028|545|5060
GUA|6/13/2013|83382|545|5060
ESA|6/13/2013|57516|545|5060
UKR|6/13/2013|52005|545|5060
UKR|6/13/2013|59524|545|5060
UKR|6/13/2013|64594|545|5060
UKR|6/13/2013|69162|545|5060
UKR|6/13/2013|93720|545|5060
BRA|6/13/2013|95280|545|5060
FAL|6/13/2013|94066|545|5060
ETH|6/13/2013|50325|545|5060
ETH|6/13/2013|80670|545|5060
ETH|6/13/2013|81002|545|5060
ETH|6/13/2013|55738|545|5060
FRA|6/13/2013|94489|545|5060
IRQ|6/13/2013|83654|545|5060
BRN|6/13/2013|66100|545|5060
JOR|6/13/2013|96126|545|5060
JOR|6/13/2013|89134|545|5060
BOT|6/13/2013|99063|545|5060
RSA|6/13/2013|59694|545|5060
IND|6/13/2013|70818|545|5060
CYP|6/13/2013|93415|545|5060
CYP|6/13/2013|86146|545|5060
IRI|6/13/2013|77336|545|5060
IRI|6/13/2013|58990|545|5060
IRI|6/13/2013|66840|545|5060
IRI|6/13/2013|56564|545|5060
KOR|6/13/2013|57824|545|5060
INA|6/13/2013|55959|545|5060
VIE|6/13/2013|83341|545|5060
TPE|6/13/2013|68023|545|5060
FIN|6/13/2013|95544|545|5060
JPN|6/13/2013|87428|545|5060
KOR|6/13/2013|98991|545|5060
JPN|6/13/2013|56834|545|5060
JPN|6/13/2013|81880|545|5060
PYF|6/13/2013|76111|545|5060
PYF|6/13/2013|70144|545|5060
PYF|6/13/2013|91626|545|5060
PYF|6/13/2013|59020|545|5060
DEN|6/13/2013|61473|545|5060
DEN|6/13/2013|65951|545|5060
MAS|6/13/2013|63619|545|5060
THA|6/13/2013|91422|545|5060
THA|6/13/2013|81168|545|5060
MAS|6/13/2013|75832|545|5060
MAS|6/13/2013|62570|545|5060
ESP|6/13/2013|74218|545|5060
BRA|6/13/2013|66209|545|5060
ENG|6/13/2013|27030|678|5060
SUR|6/13/2013|73317|679|5060
BRA|6/13/2013|76507|679|5060
AUS|6/13/2013|51575|681|5060
AUS|6/13/2013|61301|681|5060
SWE|6/13/2013|70455|683|5060
MAS|6/13/2013|85579|684|5060
LUX|6/13/2013|68287|685|5060
POR|6/13/2013|72489|686|5060
IRL|6/13/2013|51991|687|5060
TUR|6/13/2013|76755|688|5060
GER|6/13/2013|74838|688|5060
RUS|6/13/2013|65993|690|5060
GER|6/13/2013|81426|691|5060
GRE|6/13/2013|14148|691|5060
POL|6/13/2013|98539|691|5060
ISL|6/13/2013|53109|691|5060
ENG|6/13/2013|84116|691|5060
POL|6/13/2013|56110|691|5060
ENG|6/13/2013|67608|691|5060
LTU|6/13/2013|72367|698|5060
SCO|6/13/2013|86340|698|5060
AUS|6/13/2013|84157|700|5060
TPE|6/13/2013|68980|700|5060
AUS|6/13/2013|64877|700|5060
JPN|6/13/2013|56730|700|5060
KOR|6/13/2013|71990|700|5060
KOR|6/13/2013|72281|700|5060
TUR|6/13/2013|39255|706|5060
TUR|6/13/2013|91444|706|5060
ENG|6/13/2013|75977|708|5060
GER|6/13/2013|81374|709|5060
MRI|6/13/2013|14965|710|5060
UKR|6/13/2013|72204|710|5060
RSA|6/13/2013|80448|710|5060
CUB|6/13/2013|98960|710|5060
CUB|6/13/2013|92333|710|5060
VEN|6/13/2013|61409|710|5060
MRI|6/13/2013|57797|710|5060
