tournament_end|tournament_id|tournament_location|tournament_name|tournament_start|tournament_type
2014-09-28 00:00|A799C5CE-E413-49BB-B689-EA18FD57518A|Medellin , Colombia|V Colombia internacional  2014|2014-09-24 00:00|International Series
2014-09-29 00:00|8E615CB3-6736-49C8-A346-528F799756B1|Incheon, Korea|17th Asian Games 2014|2014-09-24 00:00|BWF Events
2014-09-28 00:00|E64D88AB-C48C-416E-9C47-A026A725016F|Praha, Czech Republic|43rd RSL Czech International 2014|2014-09-25 00:00|International Challenge
2014-09-28 00:00|03C3905F-B432-497C-B4DA-C6FC4C8AD41E|Basel, Switzerland|Swiss Junior Open 2014|2014-09-25 00:00|Junior International Series
2014-10-03 23:59|AA98052A-D963-4EA4-A86B-1B47B83EDC10|Lima, Peru|CAMPEONATO NACIONAL DE TERCERA 2014|2014-10-01 00:00|none
2014-10-05 00:00|008BFA2F-C41C-4F9F-9244-3FE0293C6A72|Danang, Vietnam|Kawasaki - Biere Larue Vietnam International Series 2014|2014-10-01 00:00|International Series
2014-10-05 00:00|A00DD50B-D97F-4AA3-B5B2-DE758C6C673D|Sofia, Bulgaria|Babolat Bulgarian International 2014|2014-10-02 00:00|International Challenge
2014-10-05 00:00|C726E181-4AEA-4472-A6DA-5778174DC243|Porec, Croatia|Victor Croatian Junior 2014|2014-10-03 00:00|Junior International Series
2014-10-05 23:59|BADE551A-2678-4D00-9906-02A6C62C1A3C|Porec, Croatia|Adria Youth International 2014|2014-10-03 00:00|none
2014-10-12 23:59|3137A8FA-3216-474E-8AF7-08845FC0945A|Almere, Netherlands|Yonex Dutch Open 2014|2014-10-07 00:00|none
2014-10-12 00:00|7854B759-D8FA-4BF5-A235-76AEACB580E3|Gentofte, Denmark|Danish Junior Cup 2014|2014-10-10 00:00|Junior International Series
2014-10-15 00:00|2F5AB048-C80F-4D24-A134-D9B82E8C7B2A|Markham , Canada|XIX Pan American Badminton Championships 2014 TEAM EVENT|2014-10-13 00:00|BWF Events
2014-10-19 00:00|9D032FB5-FD58-4259-A71C-4A4B52A4C4FE|Odense, Denmark|Yonex Denmark Open|2014-10-14 00:00|World Superseries Premier
2014-10-19 00:00|B82FB7BB-160F-4347-97F2-201BC9631433|Addis Abeba, Ethiopia|2014 Ethiopia International|2014-10-16 00:00|International Series
2014-10-19 00:00|A3EF2F65-4708-4A7C-9D46-CF451B613032|Yverdon-les-Bains, Switzerland|Swiss International 2014|2014-10-16 00:00|International Challenge
2014-10-19 00:00|2133AE6A-B13D-4E17-9016-19AF7C0AB04F|Ontario, Canada|XIX Pan American Badminton Championships 2014|2014-10-16 00:00|BWF Events
2014-10-19 00:00|B9B3B587-2272-47CC-8C93-D675D7C7F202|Mirna, Slovenia|20. Tem Slovenia Junior INTERNATIONAL|2014-10-17 00:00|Junior International Series
2014-10-23 23:59|D3A5F972-0DCE-4516-8CC6-4FAA661FAAAD|Incheon, Korea|Asian Para Games 2014 - Incheon|2014-10-19 00:00|none
2014-10-26 00:00|3C891CCF-5EC3-4BFB-9645-196CF683C541|Paris, France|Yonex French Open|2014-10-21 00:00|World Superseries
2014-10-25 00:00|C1358BD9-8A4E-44B3-AAAD-DF58A7C1B7A2|Kibutz Hatzor, Israel|Hatzor International 2014|2014-10-22 00:00|International Series
2014-10-26 00:00|8A967C25-1CFF-4C61-81CA-795F951B72BF|Orlando , U.S.A.|Yonex USA International Challenge 2014|2014-10-22 00:00|International Challenge
2014-10-26 00:00|2A427F63-192F-47AA-A821-AFFB78D141BA|Lagos, Nigeria|Nigeria  International 2014|2014-10-23 00:00|International Series
2014-10-26 00:00|273897DB-6477-4D2B-B3CE-C0F69650F386|Espoo, Finland|Finnish International Junior Championships 2014|2014-10-24 00:00|Junior International Series
2014-11-02 23:59|6C6A8325-63B2-45E6-AB03-D92A5B77B300|Saarbrücken, Germany|Bitburger Badminton Open 2014|2014-10-28 00:00|none
2014-11-01 00:00|23AC7A0E-845E-4C09-A31F-8261BA25F2D8|Erbil, Iraq|Iraq International Series 2014|2014-10-29 00:00|International Series
2014-11-02 00:00|92F76B46-A8C5-411E-81D4-AEC083AAC7CA|Sao Paulo, Brazil|29th. Brazil International Badminton Cup|2014-10-29 00:00|International Challenge
2014-11-02 00:00|1C23EB69-7778-43B6-BC35-AC9AB64B4FD9|Budaors, Hungary|39th Yonex Hungarian International 2014|2014-10-30 00:00|International Series
2014-11-02 00:00|7D6E9AB7-F736-4E33-85E1-7B1A64083163|Nicosia, Cyprus|Cyprus Junior International 2014, U19|2014-10-31 00:00|Junior International Series
2014-11-08 00:00|287D473C-A554-4FB1-BFFC-17089BADEF84|Manama, Bahrain|The Indian Club Centenary Li-Ning Bahrain International Challenge 2014|2014-11-04 00:00|International Challenge
2014-11-09 00:00|872EF138-8B5F-457D-9920-E08D18F152B5|Jeonju City, Jeollabukdo, Korea|Jeonju Victor Korea Grand Prix 2014|2014-11-04 00:00|Grand Prix
2014-11-09 00:00|7C25BC15-D06F-4D77-A07B-37B3D2CDDC55|Casablanca, Morocco|2014 Morocco International|2014-11-06 00:00|International Series
2014-11-09 00:00|A24B2C34-5359-42E8-9D98-C7F7C178E284|Tijuana, Mexico|V Internacional Mexicano 2014|2014-11-06 00:00|International Series
2014-11-09 00:00|48741B81-EA7B-4603-990A-541D45205277|Lendava, Slovenia|2015 EMTC - Qual Group 1|2014-11-07 00:00|BWF Events
2014-11-09 00:00|2AC5DB8D-50AA-4DFC-910B-332959EE6AF7|Prague, Czech Republic|2015 EMTC - Qual Group 2|2014-11-07 00:00|BWF Events
