t_category|t_city|t_country|t_name|t_prize|t_web_link|t_year|t_id
Continental Junior Championships|Kazan|RUS|2016 European U15 Championships|none|https://bwfbadminton.com/results/2391/2016-european-u15-championships/|2016|2391
BWF Events|Auckland|NZL|2016  Oceania Men's and Women's Team Championships|none|https://bwfbadminton.com/results/2401/2016-oceania-men-s-and-women-s-team-championships/|2016|2401
Junior International Series|Oviedo|ESP|XI Spanish Junior 2016|none|https://bwfbadminton.com/results/2497/xi-spanish-junior-2016/|2016|2497
International Challenge|Vienna|AUT|Austrian Open 2016|$17,500|https://bwfbadminton.com/results/2376/austrian-open-2016/|2016|2376
International Series|Guatemala|GUA|Herbalife International Series, Guatemala 2016|$6,000|https://bwfbadminton.com/results/2476/herbalife-international-series%2C-guatemala-2016/|2016|2476
International Series|Kampala|UGA|Uganda International 2016|$6,000|https://bwfbadminton.com/results/2413/uganda-international-2016/|2016|2413
Grand Prix Gold|MulheimanderRuhr|GER|YONEX German Open 2016|$120,000|https://bwfbadminton.com/results/2334/yonex-german-open/|2016|2334
Junior International Grand Prix|Haarlem|NED|YONEX Dutch Junior 2016|none|https://bwfbadminton.com/results/2488/yonex-dutch-junior-2016/|2016|2488
International Series|Lima|PER|II Peru International Series 2016|$6,000|https://bwfbadminton.com/results/2477/ii-peru-international-series-2016/|2016|2477
World Superseries Premier|Birmingham|ENG|YONEX All England Open 2016|$550,000|https://bwfbadminton.com/results/2335/yonex-all-england-open/|2016|2335
Junior Future Series|Lima|PER|III Peru Junior International 2016|none|https://bwfbadminton.com/results/2490/iii-peru-junior-international-2016/|2016|2490
International Challenge|SaoPaulo|BRA|31º BRAZIL INTERNATIONAL BADMINTON CUP 2016|$17,500|https://bwfbadminton.com/results/2478/31%C2%BA-brazil-international-badminton-cup-2016/|2016|2478
Junior International Grand Prix|Berlin|GER|YONEX German Junior 2016|none|https://bwfbadminton.com/results/2377/yonex-german-junior-2016/|2016|2377
International Series|CaldasdaRainha|POR|51st Portuguese International 2016|$6,000|https://bwfbadminton.com/results/2378/51st-portuguese-international-2016/|2016|2378
Grand Prix Gold|Basel|SUI|Swiss Open 2016|$120,000|https://bwfbadminton.com/results/2453/swiss-open/|2016|2453
International Series|Timisoara|ROU|Romanian International 2016|$6,000|https://bwfbadminton.com/results/2379/romanian-international-2016/|2016|2379
Continental Junior Championships|Lubin|POL|2016 European U17 Team Championships|none|https://bwfbadminton.com/results/2392/2016-european-u17-team-championships/|2016|2392
Future Series|Hamilton|NZL|Maurice's Pools and Spas  Waikato International 2016|none|https://bwfbadminton.com/results/2403/maurice-s-pools-and-spas-waikato-international-2016/|2016|2403
International Series|Kingston|JAM|II Jamaica International 2016|$6,000|https://bwfbadminton.com/results/2461/ii-jamaica-international-2016/|2016|2461
Continental Junior Championships|Lubin|POL|2016 European U17 Championships|none|https://bwfbadminton.com/results/2393/2016-european-u17-championships/|2016|2393
Grand Prix Gold|Auckland|NZL|SKYCITY New Zealand Open 2016|$120,000|https://bwfbadminton.com/results/2336/skycity-new-zealand-open/|2016|2336
International Challenge|Warsaw|POL|YONEX Polish Open 2016|$17,500|https://bwfbadminton.com/results/2380/yonex-polish-open-2016/|2016|2380
International Series|LaHabana|CUB|XVII Giraldilla International|$6,000|https://bwfbadminton.com/results/2399/xvii-giraldilla-international/|2016|2399
World Superseries|NewDelhi|IND|YONEX SUNRISE India Open 2016|$300,000|https://bwfbadminton.com/results/2337/yonex-sunrise-india-open/|2016|2337
International Challenge|Orleans|FRA|Orleans International 2016|$17,500|https://bwfbadminton.com/results/2381/orleans-international-2016/|2016|2381
Future Series|Abidjan|CIV|Ivory Coast International 2016|none|https://bwfbadminton.com/results/2427/ivory-coast-international-2016/|2016|2427
Junior International Series|Milan|ITA|YONEX Italian Junior 2016|none|https://bwfbadminton.com/results/2498/yonex-italian-junior-2016/|2016|2498
World Superseries Premier|ShahAlam|MAS|CELCOM AXIATA Malaysia Open 2016|$550,000|https://bwfbadminton.com/results/2338/celcom-axiata-malaysia-open/|2016|2338
International Challenge|Vantaa|FIN|Finnish Open 2016|$17,500|https://bwfbadminton.com/results/2382/finnish-open-2016/|2016|2382
Junior International Series|RishonLeZion|ISR|Li ning Israel Junior 2016|none|https://bwfbadminton.com/results/2499/li-ning-israel-junior-2016/|2016|2499
Junior Future Series|GUADALAJARA|MEX|III YONEX Mexican International U19-CANCELLED|none|https://bwfbadminton.com/results/2898/iii-yonex-mexican-international-u19/|2016|2898
World Superseries|SingaporeCity|SGP|OUE Singapore Open 2016|$350,000|https://bwfbadminton.com/results/2454/oue-singapore-open/|2016|2454
Future Series|Zagreb|CRO|Victor Croatian International 2016|$1,500|https://bwfbadminton.com/results/2383/victor-croatian-international-2016/|2016|2383
International Challenge|Lima|PER|XXI PERU INTERNATIONAL 2016|$17,500|https://bwfbadminton.com/results/2400/xxi-peru-international-2016/|2016|2400
Grand Prix Gold|Jiangsu|CHN|Bonny China Masters 2016|$150,000|https://bwfbadminton.com/results/2339/bonny-china-masters/|2016|2339
International Series|Temuco|CHI|Chile International Series 2016|$6,000|https://bwfbadminton.com/results/2474/chile-international-series-2016/|2016|2474
International Series|Wateringen|NED|Victor Dutch International 2016|$10,000|https://bwfbadminton.com/results/2384/victor-dutch-international-2016/|2016|2384
International Challenge|Papeete|PYF|Tahiti Phone International Challenge 2016|$17,500|https://bwfbadminton.com/results/2404/tahiti-phone-international-challenge-2016/|2016|2404
Junior International Series|Sidirokastro|GRE|Hellas Junior 2016|none|https://bwfbadminton.com/results/2500/hellas-junior-2016/|2016|2500
BWF Events|Campinas|BRA|XX Pan American Badminton Championships Team Event 2016|none|https://bwfbadminton.com/results/2687/xx-pan-american-badminton-championships-team-event-2016/|2016|2687
Continental Individual Championships|LaRochesurYon|FRA|2016 European Championships|none|https://bwfbadminton.com/results/2394/2016-european-championships/|2016|2394
Continental Individual Championships|Papeete|PYF|2016 Oceania Individual Championships|$3,000|https://bwfbadminton.com/results/2405/2016-oceania-individual-championships/|2016|2405
Continental Individual Championships|Wuhan|CHN|Dong Feng Citroen Badminton Asia Championships 2016|$200,000|https://bwfbadminton.com/results/2501/dong-feng-citroen-badminton-asia-championships-2016/|2016|2501
Continental Individual Championships|Campinas|BRA|XX Pan Am Individual Championships 2016 (Non WR Event)|none|https://bwfbadminton.com/results/2566/xx-pan-am-individual-championships-2016-non-wr-event/|2016|2566
International Series|Sidirokastro|GRE|Hellas Open 2016|$6,000|https://bwfbadminton.com/results/2502/hellas-open-2016/|2016|2502
International Challenge|Tehran|IRI|26th Iran Fajr International Challenge 2016 (CANCELLED)|none|https://bwfbadminton.com/results/2539/26th-iran-fajr-international-challenge-2016-cancelled/|2016|2539
International Series|Surabaya|INA|Walikota Surabaya Victor International Series 2016|$10,000|https://bwfbadminton.com/results/2585/walikota-surabaya-victor-international-series-2016/|2016|2585
International Series|Medvode|SLO|Slovenia International 2016|$6,000|https://bwfbadminton.com/results/2385/slovenia-international-2016/|2016|2385
BWF Events|Kunshan|CHN|TOTAL BWF Thomas & Uber Cup Finals 2016|none|https://bwfthomasubercups.bwfbadminton.com/results/2594/total-bwf-thomas-uber-cup-finals-2016/|2016|2594
International Challenge|Trang|THA|Smiling Fish International Challenge 2016|$17,500|https://bwfbadminton.com/results/2615/smiling-fish-international-challenge-2016/|2016|2615
World Superseries Premier|Jakarta|INA|BCA Indonesia Open 2016|$900,000|https://bwfbadminton.com/results/2569/bca-indonesia-open/|2016|2569
International Challenge|Hanoi|VIE|Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2016|$17,500|https://bwfbadminton.com/results/2540/ciputra-hanoi-yonex-sunrise-vietnam-international-challenge-2016/|2016|2540
Future Series|Jelgava|LAT|YONEX Latvia International 2016|none|https://bwfbadminton.com/results/2541/yonex-latvia-international-2016/|2016|2541
World Superseries|Sydney|AUS|XIAMENAIR Australian Badminton Open 2016|$750,000|https://bwfbadminton.com/results/2455/xiamenair-australian-badminton-open/|2016|2455
Future Series|Kaunas|LTU|YONEX Lithuanian International 2016|none|https://bwfbadminton.com/results/2522/yonex-lithuanian-international-2016/|2016|2522
Other|Opatija|CRO|Adria Masters International 2016|none|https://bwfbadminton.com/results/2750/adria-masters-international-2016/|2016|2750
Other|Opatija|CRO|Adria Youth International 2016|none|https://bwfbadminton.com/results/2751/adria-youth-international-2016/|2016|2751
International Challenge|Madrid|ESP|XXIX Spanish International|$17,500|https://bwfbadminton.com/results/2503/xxix-spanish-international/|2016|2503
International Series|RoseHill|MRI|Mauritius International 2016|$6,000|https://bwfbadminton.com/results/2633/mauritius-international-2016/|2016|2633
Other|Tours|FRA|2016 European Club Championships|none|https://bwfbadminton.com/results/2749/2016-european-club-championships/|2016|2749
International Series|Nairobi|KEN|Kenya International 2016|$6,000|https://bwfbadminton.com/results/2634/kenya-international-2016/|2016|2634
Grand Prix Gold|Taipei|TPE|YONEX Open Chinese Taipei 2016|$200,000|https://bwfbadminton.com/results/2456/yonex-open-chinese-taipei/|2016|2456
Grand Prix|Calgary|CAN|YONEX Canada Open 2016|$55,000|https://bwfbadminton.com/results/2570/yonex-canada-open/|2016|2570
Junior International Series|Gatchina|RUS|Russian Junior White Nights 2016|none|https://bwfbadminton.com/results/2480/russian-junior-white-nights-2016/|2016|2480
Future Series|Sidirokastro|GRE|Hellas International 2016|none|https://bwfbadminton.com/results/2523/hellas-international-2016/|2016|2523
Grand Prix Gold|ElMonte|USA|YONEX US Open 2016|$120,000|https://bwfbadminton.com/results/2629/yonex-us-open/|2016|2629
International Challenge|Gatchina|RUS|White Nights 2016|$17,500|https://bwfbadminton.com/results/2524/white-nights-2016/|2016|2524
Future Series|PuertodelaCruz|VEN|IV Open Venezuela International 2016 CANCELLED!!!|none|https://bwfbadminton.com/results/2623/iv-open-venezuela-international-2016-cancelled%21%21%21/|2016|2623
Continental Junior Championships|Bangkok|THA|SCG Badminton Asia Junior Championships 2016 ( Mixed Team Event )|none|https://bwfbadminton.com/results/2690/scg-badminton-asia-junior-championships-2016-mixed-team-event/|2016|2690
Other|Zagreb-Rijeka|CRO|3rd European Universities Games Zagreb-Rijeka 2016 (Non WR Event)|none|https://bwfbadminton.com/results/2610/european-university-games/|2016|2610
Continental Junior Championships|Bangkok|THA|SCG Badminton Asia Junior Championships 2016 ( Individual Event )|none|https://bwfbadminton.com/results/2691/scg-badminton-asia-junior-championships-2016-individual-event/|2016|2691
International Challenge|Yaba|NGR|Lagos International 2016|$18,000|https://bwfbadminton.com/results/2719/lagos-international-2016/|2016|2719
Other|Lima|PER|XXV Pan Am Junior Championships 2016 TEAM Event|none|https://bwfbadminton.com/results/2798/xxv-pan-am-junior-championships-2016-team-event/|2016|2798
Grand Prix|HoChiMinhCity|VIE|YONEX SUNRISE Vietnam Open GP 2016|$55,000|https://bwfbadminton.com/results/2468/yonex-sunrise-vietnam-open-gp-2016/|2016|2468
Continental Junior Championships|Lima|PER|XXV Pan Am U19 Championships 2016|none|https://bwfbadminton.com/results/2701/xxv-pan-am-u19-championships-2016/|2016|2701
BWF Events|Rio|BRA|Rio 2016 Olympic Games|none|https://olympics.bwfbadminton.com/results/2595/rio-2016-olympic-games/|2016|2595
Junior International Series|Pazardzhik|BUL|Bulgarian Junior 2016|none|https://bwfbadminton.com/results/2505/bulgarian-junior-2016/|2016|2505
International Series|Sofia|BUL|Eurasia Bulgarian International Championships 2016|$6,000|https://bwfbadminton.com/results/2608/eurasia-bulgaria-international-2016/|2016|2608
Junior Future Series|VondelLaan|ARU|CAREBACO International U19 Championships 2016|none|https://bwfbadminton.com/results/2635/carebaco-international-u19-championships-2016/|2016|2635
Junior International Series|Guatemala|GUA|III Guatemala Junior Internacional 2016|none|https://bwfbadminton.com/results/2772/iii-guatemala-junior-internacional-2016/|2016|2772
Future Series|St.Cruz|ARU|CAREBACO International 2016|none|https://bwfbadminton.com/results/2636/carebaco-international-2016/|2016|2636
Junior International Series|Timisoara|ROU|Romanian Junior 2016|none|https://bwfbadminton.com/results/2571/romanian-junior-2016/|2016|2571
Continental Junior Championships|Casablanca|MAR|All Africa U19 Championships 2016|none|https://bwfbadminton.com/results/2835/all-africa-u19-championships-2016/|2016|2835
Grand Prix|FozdoIguacu|BRA|3rd YONEX Brazil Grand Prix 2016|$55,000|https://bwfbadminton.com/results/2572/3rd-yonex-brazil-grand-prix-2016/|2016|2572
International Series|Singapore|SGP|OUE Singapore International Series 2016|none|https://bwfbadminton.com/results/2777/singapore-international-series-2016/|2016|2777
Future Series|Trencin|SVK|YONEX Slovak Open 2016|none|https://bwfbadminton.com/results/2386/yonex-slovak-open-2016/|2016|2386
Junior International Grand Prix|Pune|IND|Yonex Sunrise India Junior International Badminton Championships 2016|none|https://bwfbadminton.com/results/2542/yonex-sunrise-india-junior-international-badminton-championships-2016/|2016|2542
Junior International Series|Dublin|IRL|Carlton Irish U19 Open 2016|none|https://bwfbadminton.com/results/2506/carlton-irish-u19-open-2016/|2016|2506
Junior International Challenge|KualaTerenganu|MAS|Celcom Axiata Malaysia International Youth U-19 2016|none|https://bwfbadminton.com/results/2493/celcom-axiata-malaysia-international-youth-u-19-2016/|2016|2493
Grand Prix Gold|Balikpapan|INA|YONEX SUNRISE Indonesian Masters 2016|$120,000|https://bwfbadminton.com/results/2573/yonex-sunrise-indonesian-masters-2016/|2016|2573
International Series|GUADALAJARA|MEX|VII Internacional Mexicano 2016|$6,000|https://bwfbadminton.com/results/2596/vii-internacional-mexicano-2016/|2016|2596
Junior International Series|Klaipeda|LTU|YONEX Lithuanian Junior 2016|none|https://bwfbadminton.com/results/2597/yonex-lithuanian-junior-2016/|2016|2597
Other|Ramenskoe|RUS|14th World University Championships (Non WR Event)|none|https://bwfbadminton.com/results/2611/world-university-games-2016/|2016|2611
Junior International Grand Prix|Jakarta|INA|Pembangunan Jaya Raya Yonex Sunrise Junior Grand Prix 2016 (Under 19)|none|https://bwfbadminton.com/results/2587/pembangunan-jaya-raya-yonex-sunrise-junior-grand-prix-2016-under-19/|2016|2587
International Challenge|Leuven|BEL|YONEX Belgian International 2016|$17,500|https://bwfbadminton.com/results/2525/yonex-belgian-international-2016/|2016|2525
International Series|Sydney|AUS|Li-Ning Sydney International  2016|$6,000|https://bwfbadminton.com/results/2598/li-ning-sydney-international-2016/|2016|2598
Junior International Series|Dnipropetrovsk|UKR|Ukraine Junior International 2016|none|https://bwfbadminton.com/results/2778/ukraine-junior-international-2016/|2016|2778
Junior Future Series|Neiva|COL|II Colombia Junior International 2016|none|https://bwfbadminton.com/results/2734/ii-colombia-junior-international-2016/|2016|2734
Other|Malmo|SWE|Swedish Skanska International U17 2016|none|https://bwfbadminton.com/results/2617/swedish-skanska-international-u17-2016/|2016|2617
Other|Podcetrtek|SLO|2016 European Senior Championships|none|https://bwfbadminton.com/results/2758/2016-european-senior-championships/|2016|2758
World Superseries|Tokyo|JPN|YONEX Open Japan 2016|$300,000|https://bwfbadminton.com/results/2469/yonex-open-japan/|2016|2469
International Series|Bierun|POL|VARCOLOR Polish International 2016|$6,000|https://bwfbadminton.com/results/2599/varcolor-polish-international-2016/|2016|2599
International Series|Neiva|COL|VII Colombia Internacional 2016|$6,000|https://bwfbadminton.com/results/2735/vii-colombia-internacional-2016/|2016|2735
Junior International Series|Herstal|BEL|YONEX Belgian Junior 2016|none|https://bwfbadminton.com/results/2588/yonex-belgian-junior-2016/|2016|2588
Junior Future Series|Melbourne|AUS|Li-Ning Australian Junior International 2016|none|https://bwfbadminton.com/results/2600/li-ning-australian-junior-international-2016/|2016|2600
World Superseries|Gyeonggi-do(Seoul)|KOR|VICTOR Korea Open 2016|$600,000|https://bwfbadminton.com/results/2574/victor-korea-open/|2016|2574
International Challenge|Prague|CZE|FZ FORZA Prague Open 2016|$17,500|https://bwfbadminton.com/results/2526/fz-forza-prague-open-2016/|2016|2526
International Series|BacNinh|VIE|Kawasaki Vietnam International Series 2016|$6,000|https://bwfbadminton.com/results/2543/kawasaki-vietnam-international-series-2016/|2016|2543
International Series|AddisAbaba|ETH|Ethiopia International 2016|$6,000|https://bwfbadminton.com/results/2720/ethiopia-international-2016/|2016|2720
Grand Prix Gold|Bangkok|THA|SCG Thailand Open 2016|$120,000|https://bwfbadminton.com/results/2340/scg-thailand-open/|2016|2340
Grand Prix|Vladivostok|RUS|Russian Open Grand Prix 2016|$55,000|https://bwfbadminton.com/results/2575/russian-open-grand-prix-2016/|2016|2575
Future Series|Sofia|BUL|Babolat Bulgarian International 2016|none|https://bwfbadminton.com/results/2576/babolat-bulgarian-international-2016/|2016|2576
Future Series|BuenosAires|ARG|V Argentina Internacional|none|https://bwfbadminton.com/results/2804/v-argentina-internacional/|2016|2804
Junior International Series|Dubrovnik|CRO|Valamar Junior Open 2016|$5,000|https://bwfbadminton.com/results/2481/valamar-junior-open-2016/|2016|2481
Grand Prix|Taipei|TPE|Chinese Taipei Masters 2016|$55,000|https://bwfbadminton.com/results/2472/chinese-taipei-masters/|2016|2472
Grand Prix|Almere|NED|YONEX Dutch Open 2016|$55,000|https://bwfbadminton.com/results/2577/yonex-dutch-open-2016/|2016|2577
Junior International Series|Gentofte|DEN|Danish Junior Cup 2016|none|https://bwfbadminton.com/results/2544/danish-junior-cup-2016/|2016|2544
World Superseries Premier|Odense|DEN|YONEX Denmark Open 2016|$700,000|https://bwfbadminton.com/results/2457/yonex-denmark-open/|2016|2457
International Series|Islamabad|PAK|Yonex- Sunrise Pakistan International Series 2016|$6,000|https://bwfbadminton.com/results/2805/yonex-sunrise-pakistan-international-series-2016/|2016|2805
International Series|Yverdon-les-Bains|SUI|Swiss International 2016|$6,000|https://bwfbadminton.com/results/2590/swiss-international-2016/|2016|2590
International Series|Cairo|EGY|Egypt International 2016|$6,000|https://bwfbadminton.com/results/2637/egypt-international-2016/|2016|2637
Junior Future Series|SantoDomingo|DOM|Santo Domingo Open Junior 2016|none|https://bwfbadminton.com/results/2695/santo-domingo-open-junior-2016/|2016|2695
Junior International Series|Mirna|SLO|TEM Slovenia Junior 2016|none|https://bwfbadminton.com/results/2482/tem-slovenia-junior-2016/|2016|2482
World Superseries|Paris|FRA|YONEX French Open 2016|$300,000|https://bwfbadminton.com/results/2459/yonex-french-open/|2016|2459
International Series|SantoDOmingo|DOM|Sto. Domingo Open 2016|$6,000|https://bwfbadminton.com/results/2602/sto-domingo-open-2016/|2016|2602
Other|Osaka|JPN|YONEX Cup International Friendship Ladies Badminton Tournament 2016|none|https://bwfbadminton.com/results/2721/yonex-cup-international-friendship-ladies-badminton-tournament-2016/|2016|2721
International Challenge|Budaors|HUN|41st YONEX Hungarian International 2016|$17,500|https://bwfbadminton.com/results/2387/41st-yonex-hungarian-international-2016/|2016|2387
International Challenge|Bahrain|BRN|Bahrain International Challenge 2016|$17,500|https://bwfbadminton.com/results/2714/bahrain-international-challenge-2016/|2016|2714
Junior International Series|Espoo|FIN|Finnish Junior 2016|none|https://bwfbadminton.com/results/2601/finnish-junior-2016/|2016|2601
Grand Prix Gold|Saarbrucken|GER|Bitburger Badminton Open 2016|$120,000|https://bwfbadminton.com/results/2470/bitburger-badminton-open/|2016|2470
International Challenge|Semarang|INA|USM Victor International Challenge 2016|$20,000|https://bwfbadminton.com/results/2507/usm-victor-international-challenge-2016/|2016|2507
Future Series|KibbutzHatzor|ISR|Hatzor International 2016|none|https://bwfbadminton.com/results/2527/hatzor-international-2016/|2016|2527
BWF Events|Bilbao|ESP|BWF World Junior Mixed Team Championships 2016|none|https://bwfbadminton.com/results/2603/bwf-world-junior-mixed-team-championships-2016/|2016|2603
International Series|Casablanca|MAR|Morocco International 2016 - Cancelled|none|https://bwfbadminton.com/results/2773/morocco-international-2016-cancelled/|2016|2773
International Challenge|KotaKinabalu|MAS|Celcom Axiata Malaysia International Challenge 2016|$17,500|https://bwfbadminton.com/results/2494/celcom-axiata-malaysia-international-challenge-2016/|2016|2494
BWF Events|Bilbao|ESP|BWF World Junior Championships Eye-Level Cups 2016|none|https://bwfbadminton.com/results/2604/bwf-world-junior-championships-eye-level-cups-2016/|2016|2604
Other|Karviná|CZE|2017 European Mixed Team Championships (Qualification - Group 1)|none|https://bwfbadminton.com/results/2876/2017-european-mixed-team-championships-qualification-group-1/|2016|2876
Other|Sofia|BUL|2017 European Mixed Team Championships (Qualification - Group 2)|none|https://bwfbadminton.com/results/2877/2017-european-mixed-team-championships-qualification-group-2/|2016|2877
Other|Dublin|IRL|2017 European Mixed Team Championships (Qualification - Group 3)|none|https://bwfbadminton.com/results/2878/2017-european-mixed-team-championships-qualification-group-3/|2016|2878
Other|Medvode|SLO|2017 European Mixed Team Championships (Qualification - Group 4)|none|https://bwfbadminton.com/results/2879/2017-european-mixed-team-championships-qualification-group-4/|2016|2879
Other|Uppsala|SWE|2017 European Mixed Team Championships (Qualification - Group 5)|none|https://bwfbadminton.com/results/2880/2017-european-mixed-team-championships-qualification-group-5/|2016|2880
World Superseries Premier|Fuzhou|CHN|THAIHOT China Open 2016|$700,000|https://bwfbadminton.com/results/2471/thaihot-china-open/|2016|2471
Junior International Series|Shymkent|KAZ|Apacs Kazakhstan Junior 2016 (U19, U17, U15, U13)|none|https://bwfbadminton.com/results/2697/apacs-kazakhstan-junior-2016-u19%2C-u17%2C-u15%2C-u13/|2016|2697
International Series|Paramaribo|SUR|Suriname International 2016|$6,000|https://bwfbadminton.com/results/2605/suriname-international-2016/|2016|2605
International Series|Sandefjord|NOR|Norwegian International 2016|$6,000|https://bwfbadminton.com/results/2388/norwegian-international-2016/|2016|2388
Junior International Series|Orlova-Lutyne|CZE|Czech Junior 2016|none|https://bwfbadminton.com/results/2483/czech-junior-2016/|2016|2483
Junior International Series|MiryangCity|KOR|Yonex Korea Junior Open Badminton Championships 2016|none|https://bwfbadminton.com/results/2700/yonex-korea-junior-open-badminton-championships-2016/|2016|2700
World Superseries|Kowloon|HKG|YONEX SUNRISE Hong Kong Open 2016|$400,000|https://bwfbadminton.com/results/2460/yonex-sunrise-hong-kong-open/|2016|2460
International Series|Hydearbad|IND|Sats India International Series 2016|$6,000|https://bwfbadminton.com/results/2545/sats-india-international-series-2016/|2016|2545
Grand Prix|Glasgow|SCO|Scottish Open 2016|$55,000|https://bwfbadminton.com/results/2458/scottish-open/|2016|2458
International Series|Helsinki|FIN|Finnish International 2016|$6,000|https://bwfbadminton.com/results/2630/finnish-international-2016/|2016|2630
International Series|Lusaka|ZAM|Zambia International 2016|$6,000|https://bwfbadminton.com/results/2638/zambia-international-2016/|2016|2638
Junior International Series|Trencin|SVK|YONEX Slovak Junior 2016|none|https://bwfbadminton.com/results/2568/yonex-slovak-junior-2016/|2016|2568
Grand Prix Gold|Macau|MAC|2016 Macau Open|$120,000|https://bwfbadminton.com/results/2579/2016-macau-open/|2016|2579
Junior International Series|Singapore|SGP|OUE Singapore Youth International Series 2016|none|https://bwfbadminton.com/results/2829/oue-singapore-youth-international-series-2016/|2016|2829
International Challenge|Cardiff|WAL|YONEX Welsh International 2016|$17,500|https://bwfbadminton.com/results/2546/yonex-welsh-international-2016/|2016|2546
International Challenge|Mumbai|IND|TATA Open India International Challenge 2016|$17,500|https://bwfbadminton.com/results/2547/tata-open-india-international-challenge-2016/|2016|2547
Junior International Series|CaldasdaRainha|POR|VIII Portuguese Junior 2016|none|https://bwfbadminton.com/results/2484/viii-portuguese-junior-2016/|2016|2484
International Series|Benoni|RSA|South Africa International 2016|$6,000|https://bwfbadminton.com/results/2806/south-africa-international-2016/|2016|2806
International Challenge|Dhaka|BAN|Yonex Sunrise Bangladesh International Challenge 2016|$17,500|https://bwfbadminton.com/results/2508/yonex-sunrise-bangladesh-international-challenge-2016/|2016|2508
Grand Prix Gold|Jeju|KOR|JEJU VICTOR 2016 Korea Masters Championships|$120,000|https://bwfbadminton.com/results/2578/jeju-victor-2016-korea-masters-championships/|2016|2578
International Challenge|Dublin|IRL|FZ Forza Irish Open 2016|$17,500|https://bwfbadminton.com/results/2631/fz-forza-irish-open-2016/|2016|2631
International Series|Gaborone|BOT|Botswana International 2016|$6,000|https://bwfbadminton.com/results/2746/botswana-international-2016/|2016|2746
Junior International Series|Tartu|EST|YONEX Estonian Junior 2016 (U19, U17)|none|https://bwfbadminton.com/results/2639/yonex-estonian-junior-2016-u19%2C-u17/|2016|2639
Junior International Series|Dhaka|BAN|Bangladesh International Junior 2016 (U19)|none|https://bwfbadminton.com/results/2699/bangladesh-international-junior-2016-u19/|2016|2699
International Challenge|OstiaLido,Rome|ITA|YONEX Italian International 2016|$17,500|https://bwfbadminton.com/results/2389/yonex-italian-international-2016/|2016|2389
International Series|Kathmandu|NEP|Nepal International Series 2016|$6,000|https://bwfbadminton.com/results/2830/nepal-international-series-2016/|2016|2830
World Superseries Premier|Dubai|UAE|Dubai World Superseries Finals 2016|$1,000,000|https://bwfbadminton.com/results/2462/dubai-world-superseries-finals/|2016|2462
Junior International Series|Istanbul|TUR|I.B.B Turkey Junior 2016|none|https://bwfbadminton.com/results/2504/i-b-b-turkey-junior-2016/|2016|2504
International Challenge|OrangeCounty|USA|2016 Yonex/K & D Graphics International Challenge|$17,500|https://bwfbadminton.com/results/2782/2016-yonex-k-d-graphics-international-challenge/|2016|2782
International Series|Istanbul|TUR|I.B.B. Turkey International 2016|$6,000|https://bwfbadminton.com/results/2632/i-b-b-turkey-international-2016/|2016|2632
Other|Frederiksberg|DEN|YONEX Copenhagen Masters (Non WR event) -CANCELLED|none|https://bwfbadminton.com/results/2612/copenhagen-masters-2016/|2016|2612
International Challenge|Hainan|CHN|China International Challenge 2017|$50,000|https://bwfbadminton.com/results/2807/china-international-challenge-2017/|2017|2807
International Series|Tallinn|EST|YONEX Estonian International 2017|$8,020|https://bwfbadminton.com/results/2787/yonex-estonian-international-2017/|2017|2787
Grand Prix Gold|Sibu|MAS|Victor Far East Malaysia Masters 2017|$120,000|https://bwfbadminton.com/results/2646/victor-far-east-malaysia-masters-2017/|2017|2646
International Series|Lund|SWE|Swedish International 2017|$8,000|https://bwfbadminton.com/results/2726/swedish-international-2017/|2017|2726
Junior International Series|Imielin|POL|Polish Junior 2017|none|https://bwfbadminton.com/results/2808/polish-junior-2017/|2017|2808
Grand Prix Gold|Lucknow|IND|Syed Modi International Badminton Championships 2017|$120,000|https://bwfbadminton.com/results/2809/syed-modi-international-badminton-championships-2017/|2017|2809
International Series|Reykjavik|ISL|Iceland International 2017|$8,000|https://bwfbadminton.com/results/2727/iceland-international-2017/|2017|2727
Junior International Series|Uppsala|SWE|Swedish Junior 2017|none|https://bwfbadminton.com/results/2641/swedish-junior-2017/|2017|2641
Junior International Series|Nicosia|CYP|Cyprus Junior 2017|none|https://bwfbadminton.com/results/2810/cyprus-junior-2017/|2017|2810
Grand Prix Gold|Bangkok|THA|Princess Sirivannavari Thailand Masters 2017|$120,000|https://bwfbadminton.com/results/2648/princess-sirivannavari-thailand-masters-2017/|2017|2648
International Challenge|Tehran|IRI|26th Iran Fajr International Challenge 2017|$20,000|https://bwfbadminton.com/results/2689/26th-iran-fajr-international-challenge-2017/|2017|2689
Junior International Series|Pécs|HUN|7th Multi Alarm Hungarian Junior 2017|none|https://bwfbadminton.com/results/2728/7th-multi-alarm-hungarian-junior-2017/|2017|2728
International Series|Noumea|NCL|CASA DEL SOLE Noumea International 2017|$8,000|https://bwfbadminton.com/results/2788/casa-del-sole-noumea-international-2017/|2017|2788
Continental Junior Championships|Noumea|NCL|VICTOR Oceania Junior Championships 2017|none|https://bwfbadminton.com/results/2759/victor-oceania-junior-championships-2017/|2017|2759
Continental Individual Championships|Noumea|NCL|VICTOR Oceania Championships 2017|none|https://bwfbadminton.com/results/2760/victor-oceania-championships-2017/|2017|2760
